Age_Group,Gender,Education,Income,Region,Social_Media_Time,Marketing_Channels,Products_Purchased,Likelihood_Try_New_Brand,Influencing_Factors,Purchase_Last_3mo,Referral_Willingness,Monthly_Online_Spend,Interest_Recommendation_Service,Comfort_Data_Personalization,Biggest_Challenge,Cart_Abandon_Freq,Campaign_Satisfaction,Tech_Attitude
25–34,Female,Undergraduate,18127.0,North,30–60 mins,"Google Ads, Other",Electronics,Neutral,"Personalization, Visual appeal",No,Likely,428.0,Maybe,Very comfortable,Others,Never,1.0,Neutral
25–34,Non-binary/Other,Postgraduate,55301.0,Central/Other,30–60 mins,"Instagram, Other, SMS",Groceries,Likely,"Personalization, Visual appeal",Yes,Neutral,1387.0,No,Comfortable,"Complicated checkout, Slow delivery, Too many choices",Sometimes,4.0,Neutral
35–44,Male,Undergraduate,13451.0,South,30–60 mins,Facebook,Apparel,Likely,"Brand reputation, Friend recommendations",Yes,Neutral,1303.0,Maybe,Very comfortable,Not enough discounts,Rarely,4.0,Open but cautious
25–34,Female,Postgraduate,15097.0,South,30–60 mins,Facebook,Electronics,Likely,"Brand reputation, Product reviews",Yes,Very likely,,Yes,Comfortable,Too many choices,Sometimes,2.0,Open but cautious
25–34,Male,High school,9553.0,West,<30 mins,Email,Apparel,Neutral,"Brand reputation, Visual appeal",No,Unlikely,1048.0,Yes,Comfortable,"Others, Too many choices",Sometimes,4.0,Neutral
35–44,Female,Undergraduate,59646.0,East,30–60 mins,Instagram,Electronics,Likely,"Friend recommendations, Personalization",No,Unlikely,826.0,No,Neutral,Too many choices,Sometimes,2.0,Open but cautious
Under 18,Male,Undergraduate,38204.0,West,1–2 hours,"Email, Instagram, SMS",Groceries,Likely,"Brand reputation, Discounts/Offers",No,Neutral,633.0,No,Very comfortable,"Lack of trust, Others, Slow delivery",Never,4.0,Skeptical
25–34,Male,Undergraduate,35675.0,Central/Other,1–2 hours,Instagram,Electronics,Neutral,"Personalization, Product reviews",No,Very unlikely,1148.0,No,Comfortable,Others,Sometimes,5.0,Skeptical
35–44,Female,Undergraduate,37727.0,North,30–60 mins,"Email, Google Ads, SMS",Groceries,Likely,"Discounts/Offers, Friend recommendations",Yes,Very likely,1453.0,Maybe,Comfortable,"Others, Too many choices",Often,3.0,Disinterested
45–54,Male,Undergraduate,9464.0,West,30–60 mins,"Facebook, Google Ads, Instagram",Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Neutral,735.0,Maybe,Comfortable,Others,Sometimes,2.0,Neutral
25–34,Female,High school,19260.0,East,2+ hours,SMS,Groceries,Unlikely,"Friend recommendations, Visual appeal",Yes,Neutral,583.0,No,Neutral,"Not enough discounts, Slow delivery",Often,2.0,Disinterested
25–34,Female,High school,14227.0,West,30–60 mins,"Google Ads, SMS",Electronics,Neutral,"Brand reputation, Visual appeal",Yes,Likely,1044.0,Maybe,Very uncomfortable,"Lack of trust, Slow delivery",Rarely,1.0,Skeptical
18–24,Female,Undergraduate,9079.0,South,30–60 mins,"Email, Google Ads",Electronics,Unlikely,"Friend recommendations, Personalization",No,Neutral,769.0,Yes,Very comfortable,"Lack of trust, Slow delivery, Too many choices",Often,5.0,Open but cautious
25–34,Male,Undergraduate,17275.0,Central/Other,30–60 mins,"Email, Facebook, SMS",Groceries,Likely,"Brand reputation, Friend recommendations",Yes,Very unlikely,1858.0,Yes,Comfortable,Slow delivery,Rarely,1.0,Open but cautious
25–34,Male,Postgraduate,53984.0,Central/Other,30–60 mins,"Email, Instagram",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Neutral,1754.0,Maybe,Neutral,Slow delivery,Never,5.0,Open but cautious
18–24,Male,Postgraduate,8110.0,Central/Other,1–2 hours,"Facebook, Instagram, SMS",Groceries,Very likely,"Personalization, Visual appeal",Yes,Likely,1441.0,No,Uncomfortable,Others,Often,5.0,Excited
25–34,Prefer not to say,Postgraduate,18281.0,Central/Other,30–60 mins,"Email, Facebook, Other",Groceries,Likely,"Personalization, Visual appeal",No,Neutral,1077.0,No,Comfortable,Not enough discounts,Always,4.0,Excited
25–34,Female,Undergraduate,18376.0,Central/Other,1–2 hours,"Email, Google Ads",Apparel,Unlikely,"Friend recommendations, Product reviews",Yes,Likely,1525.0,Yes,Comfortable,Slow delivery,Sometimes,1.0,Excited
Under 18,Female,Undergraduate,19136.0,Central/Other,<30 mins,"Facebook, Google Ads, Other",Apparel,Very likely,"Discounts/Offers, Friend recommendations",No,Unlikely,791.0,No,Comfortable,Others,Rarely,3.0,Neutral
25–34,Female,High school,52756.0,North,30–60 mins,Facebook,Apparel,Very likely,"Brand reputation, Product reviews",Yes,Unlikely,1722.0,Yes,Comfortable,Lack of trust,Rarely,5.0,Open but cautious
18–24,Female,Postgraduate,14780.0,East,1–2 hours,"Facebook, Google Ads, Instagram",Services,Neutral,"Brand reputation, Friend recommendations",Yes,Unlikely,1897.0,No,Neutral,"Complicated checkout, Not enough discounts, Others",Sometimes,5.0,Open but cautious
25–34,Female,Undergraduate,14529.0,Central/Other,30–60 mins,"Google Ads, Instagram, SMS",Groceries,Likely,"Product reviews, Visual appeal",Yes,Neutral,985.0,Yes,Neutral,"Complicated checkout, Lack of trust, Slow delivery",Often,2.0,Neutral
18–24,Male,High school,27236.0,East,1–2 hours,Other,Apparel,Very likely,"Friend recommendations, Visual appeal",No,Likely,843.0,Yes,Very uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Rarely,4.0,Skeptical
45–54,Female,Undergraduate,8813.0,Central/Other,30–60 mins,"Email, Facebook",Electronics,Likely,"Discounts/Offers, Personalization",Yes,Likely,1224.0,Yes,Comfortable,"Complicated checkout, Lack of trust",Often,3.0,Disinterested
25–34,Male,Postgraduate,17369.0,West,1–2 hours,Email,Electronics,Very likely,"Personalization, Visual appeal",No,Neutral,511.0,Yes,Uncomfortable,"Complicated checkout, Lack of trust, Too many choices",Rarely,5.0,Neutral
35–44,Female,Undergraduate,17090.0,Central/Other,<30 mins,Email,Services,Unlikely,"Brand reputation, Friend recommendations",Yes,Neutral,1336.0,Maybe,Comfortable,"Complicated checkout, Too many choices",Often,2.0,Open but cautious
35–44,Female,Undergraduate,22032.0,South,2+ hours,"Facebook, SMS",Apparel,Unlikely,"Discounts/Offers, Friend recommendations",Yes,Likely,1025.0,Yes,Neutral,Slow delivery,Always,1.0,Open but cautious
25–34,Female,Undergraduate,101283.0,North,30–60 mins,"Instagram, SMS",Apparel,Neutral,"Discounts/Offers, Personalization",No,Unlikely,1717.0,Yes,Neutral,Complicated checkout,Sometimes,5.0,Open but cautious
18–24,Male,High school,29096.0,West,2+ hours,"Email, Google Ads",Services,Likely,"Personalization, Visual appeal",Yes,Unlikely,1073.0,No,Very comfortable,"Not enough discounts, Others",Sometimes,2.0,Excited
25–34,Male,Undergraduate,13542.0,West,30–60 mins,"Email, Facebook",Apparel,Likely,"Brand reputation, Personalization",Yes,Very likely,974.0,No,Very uncomfortable,"Others, Slow delivery, Too many choices",Often,1.0,Open but cautious
25–34,Male,Undergraduate,54288.0,South,1–2 hours,"Email, Facebook, Other",Apparel,Very likely,"Friend recommendations, Personalization",No,Neutral,330.0,Yes,Comfortable,"Complicated checkout, Too many choices",Sometimes,4.0,Disinterested
35–44,Male,High school,9815.0,Central/Other,30–60 mins,"Instagram, Other",Other,Neutral,"Brand reputation, Visual appeal",Yes,Very likely,1534.0,Yes,Very uncomfortable,"Complicated checkout, Not enough discounts",Sometimes,1.0,Excited
25–34,Male,Postgraduate,203256.0,North,2+ hours,"Facebook, Instagram, Other",Groceries,Very unlikely,"Brand reputation, Product reviews",No,Neutral,1334.0,Maybe,Very uncomfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,5.0,Excited
18–24,Female,Undergraduate,19655.0,West,<30 mins,Instagram,Apparel,Likely,"Brand reputation, Product reviews",Yes,Likely,962.0,No,Neutral,Slow delivery,Rarely,3.0,Excited
25–34,Female,Postgraduate,14654.0,North,30–60 mins,"Facebook, Instagram, SMS",Apparel,Likely,"Friend recommendations, Product reviews",Yes,Unlikely,986.0,,Very uncomfortable,"Complicated checkout, Not enough discounts",Often,1.0,Neutral
25–34,Male,Postgraduate,23341.0,West,30–60 mins,Other,Apparel,Unlikely,"Brand reputation, Visual appeal",Yes,Unlikely,937.0,No,Comfortable,Too many choices,Rarely,3.0,Open but cautious
35–44,Male,High school,27877.0,Central/Other,<30 mins,"Email, Instagram",Apparel,Likely,"Brand reputation, Personalization",No,Neutral,988.0,Yes,Neutral,"Not enough discounts, Others",Always,3.0,Open but cautious
25–34,Male,Undergraduate,55897.0,West,30–60 mins,"Facebook, Google Ads, SMS",Services,Likely,"Brand reputation, Visual appeal",Yes,Neutral,1629.0,Yes,Very uncomfortable,Too many choices,Rarely,1.0,Excited
25–34,Female,Undergraduate,32436.0,West,2+ hours,"Email, Other",Electronics,Likely,"Product reviews, Visual appeal",No,Unlikely,1638.0,No,Very uncomfortable,"Complicated checkout, Others, Too many choices",Sometimes,4.0,Open but cautious
55+,Female,Postgraduate,21142.0,East,2+ hours,"Facebook, Other",Groceries,Likely,"Brand reputation, Discounts/Offers",No,Unlikely,863.0,Maybe,Comfortable,"Slow delivery, Too many choices",Rarely,1.0,Excited
35–44,Female,High school,8849.0,Central/Other,30–60 mins,"Instagram, SMS",Services,Neutral,"Brand reputation, Discounts/Offers",Yes,Very unlikely,693.0,Yes,Comfortable,,Rarely,2.0,Open but cautious
18–24,Male,Undergraduate,8366.0,South,2+ hours,"Google Ads, Instagram, Other",Electronics,Very likely,"Brand reputation, Friend recommendations",Yes,Likely,1196.0,Maybe,Neutral,"Complicated checkout, Slow delivery",Rarely,3.0,Excited
18–24,Prefer not to say,Undergraduate,39282.0,South,1–2 hours,"Email, Instagram",Apparel,Likely,"Brand reputation, Visual appeal",Yes,Neutral,965.0,Yes,Neutral,Others,Sometimes,5.0,Neutral
18–24,Female,Undergraduate,13090.0,Central/Other,30–60 mins,"Facebook, Instagram, SMS",Electronics,Neutral,"Product reviews, Visual appeal",Yes,Very unlikely,675.0,Yes,Comfortable,Too many choices,Sometimes,3.0,Open but cautious
18–24,Male,High school,42039.0,South,1–2 hours,"Email, Other",Services,Neutral,"Discounts/Offers, Visual appeal",Yes,Unlikely,1032.0,Yes,Comfortable,"Lack of trust, Not enough discounts",Often,5.0,Neutral
18–24,Female,Undergraduate,10860.0,Central/Other,1–2 hours,Other,Services,Likely,"Discounts/Offers, Personalization",No,Unlikely,1365.0,Yes,Uncomfortable,Slow delivery,Rarely,2.0,Open but cautious
18–24,Male,Undergraduate,11441.0,South,2+ hours,"Facebook, Google Ads, Instagram",Apparel,Neutral,"Friend recommendations, Visual appeal",No,Neutral,305.0,Maybe,Comfortable,"Lack of trust, Too many choices",Sometimes,2.0,Open but cautious
25–34,Female,Undergraduate,16271.0,East,30–60 mins,Google Ads,Groceries,Unlikely,"Product reviews, Visual appeal",No,Very unlikely,3097.0,No,Comfortable,,Often,2.0,Excited
18–24,Male,Undergraduate,13855.0,South,1–2 hours,"Email, Instagram, Other",Electronics,Likely,"Discounts/Offers, Personalization",No,Likely,2055.0,Yes,Comfortable,"Others, Slow delivery",Rarely,1.0,Open but cautious
45–54,Female,Undergraduate,8587.0,West,<30 mins,Email,Services,Neutral,"Brand reputation, Product reviews",No,Very unlikely,647.0,Maybe,Comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,3.0,Open but cautious
18–24,Female,Undergraduate,36879.0,Central/Other,<30 mins,Other,Apparel,Likely,"Friend recommendations, Visual appeal",Yes,Unlikely,335.0,Maybe,Very comfortable,"Others, Slow delivery",Sometimes,5.0,Open but cautious
25–34,Female,High school,11020.0,North,<30 mins,"Facebook, Instagram",Electronics,Unlikely,"Personalization, Product reviews",No,,1247.0,Maybe,Uncomfortable,"Complicated checkout, Slow delivery",Sometimes,2.0,Neutral
25–34,Female,Postgraduate,21785.0,North,2+ hours,"Email, Google Ads, SMS",Services,Likely,"Brand reputation, Personalization",No,Likely,1445.0,Maybe,Very comfortable,"Complicated checkout, Lack of trust",Rarely,2.0,Skeptical
55+,Male,Undergraduate,15511.0,Central/Other,2+ hours,"Facebook, Instagram, SMS",Electronics,Neutral,"Brand reputation, Visual appeal",Yes,Very unlikely,445.0,Yes,Neutral,Too many choices,Sometimes,5.0,Neutral
18–24,Male,Undergraduate,11786.0,East,1–2 hours,"Email, SMS",,Very unlikely,"Friend recommendations, Personalization",No,Likely,2631.0,Maybe,Comfortable,"Complicated checkout, Others",Rarely,3.0,Excited
25–34,Male,High school,17267.0,South,1–2 hours,SMS,Apparel,Unlikely,"Brand reputation, Visual appeal",Yes,Neutral,851.0,No,Uncomfortable,Others,Sometimes,3.0,Neutral
55+,Male,High school,49191.0,East,30–60 mins,"Facebook, Instagram",Apparel,Very likely,"Friend recommendations, Personalization",No,Likely,773.0,Maybe,Neutral,Too many choices,Always,5.0,Excited
45–54,Female,Undergraduate,17429.0,North,30–60 mins,"Email, Facebook, Google Ads",Apparel,Very likely,"Brand reputation, Visual appeal",No,Neutral,642.0,Maybe,Comfortable,Others,Sometimes,4.0,Neutral
45–54,Male,Undergraduate,26682.0,Central/Other,30–60 mins,Other,Services,Neutral,"Discounts/Offers, Friend recommendations",No,Likely,1683.0,Yes,Comfortable,Too many choices,Sometimes,3.0,Open but cautious
25–34,Non-binary/Other,Postgraduate,10797.0,Central/Other,30–60 mins,Instagram,Apparel,Likely,"Product reviews, Visual appeal",Yes,Very likely,1705.0,Maybe,Very uncomfortable,"Others, Too many choices",Never,5.0,Excited
18–24,Female,High school,32662.0,East,1–2 hours,"Email, Instagram, SMS",Electronics,Likely,"Brand reputation, Personalization",No,Unlikely,527.0,Yes,Neutral,Complicated checkout,Often,5.0,Skeptical
35–44,Female,Undergraduate,18701.0,East,,"Facebook, Instagram",Groceries,Very likely,"Product reviews, Visual appeal",Yes,Neutral,958.0,Yes,Uncomfortable,"Lack of trust, Not enough discounts, Others",Rarely,2.0,Neutral
45–54,Male,Undergraduate,29644.0,South,<30 mins,SMS,Apparel,Neutral,"Brand reputation, Discounts/Offers",Yes,Neutral,1325.0,Yes,Very comfortable,"Others, Slow delivery",Sometimes,5.0,Open but cautious
25–34,Female,High school,29944.0,West,<30 mins,"Instagram, Other",Electronics,Likely,"Personalization, Visual appeal",No,Very unlikely,2230.0,Maybe,Very comfortable,Too many choices,Always,1.0,Excited
25–34,Female,High school,50473.0,West,<30 mins,Email,Groceries,Unlikely,"Brand reputation, Personalization",Yes,Very unlikely,632.0,Yes,Very uncomfortable,"Complicated checkout, Others, Slow delivery",Sometimes,2.0,Open but cautious
25–34,Male,Undergraduate,16801.0,South,30–60 mins,Email,Services,Neutral,"Brand reputation, Personalization",No,Unlikely,824.0,No,Very comfortable,Not enough discounts,Sometimes,2.0,Disinterested
35–44,Female,Undergraduate,8562.0,West,2+ hours,"Google Ads, Instagram",Groceries,Very likely,"Brand reputation, Friend recommendations",Yes,Neutral,226.0,Yes,Very comfortable,"Complicated checkout, Not enough discounts, Others",Sometimes,3.0,Open but cautious
18–24,Female,Undergraduate,10986.0,North,1–2 hours,Other,Groceries,Likely,"Personalization, Product reviews",Yes,Neutral,999.0,Maybe,Neutral,"Not enough discounts, Slow delivery, Too many choices",Never,4.0,Disinterested
25–34,Male,Undergraduate,51127.0,West,2+ hours,"Facebook, Other",Apparel,Neutral,"Friend recommendations, Visual appeal",No,Neutral,1432.0,Yes,Comfortable,Complicated checkout,Often,3.0,Excited
25–34,Female,Undergraduate,26870.0,South,30–60 mins,"Email, Facebook, SMS",Services,Unlikely,"Brand reputation, Product reviews",Yes,Very unlikely,816.0,Maybe,Neutral,Complicated checkout,Never,1.0,Open but cautious
25–34,Male,High school,27670.0,West,30–60 mins,"Google Ads, Other",Apparel,Likely,"Brand reputation, Product reviews",Yes,Neutral,1094.0,Maybe,Comfortable,"Complicated checkout, Not enough discounts",Sometimes,2.0,Neutral
18–24,Male,Undergraduate,15347.0,Central/Other,<30 mins,"Google Ads, SMS",Groceries,Likely,"Personalization, Product reviews",No,Very likely,765.0,No,Neutral,"Complicated checkout, Too many choices",Never,2.0,Open but cautious
18–24,Male,Postgraduate,13874.0,East,2+ hours,Google Ads,Apparel,Neutral,"Brand reputation, Personalization",Yes,Neutral,1164.0,Yes,Neutral,Lack of trust,Often,5.0,Excited
35–44,Male,Undergraduate,10123.0,North,1–2 hours,Google Ads,Services,Very likely,"Brand reputation, Friend recommendations",No,Neutral,1741.0,Maybe,Neutral,"Lack of trust, Not enough discounts, Others",Rarely,4.0,Open but cautious
25–34,Male,Undergraduate,80919.0,Central/Other,30–60 mins,"Email, Facebook",Groceries,Very unlikely,"Personalization, Visual appeal",Yes,Likely,376.0,Maybe,Uncomfortable,"Complicated checkout, Lack of trust",Sometimes,4.0,Neutral
25–34,Male,Undergraduate,30172.0,Central/Other,1–2 hours,"Facebook, Instagram, SMS",Groceries,Neutral,"Brand reputation, Product reviews",Yes,Likely,294.0,Maybe,Comfortable,"Complicated checkout, Others",Sometimes,5.0,Neutral
18–24,Non-binary/Other,Postgraduate,57697.0,South,30–60 mins,"Email, Google Ads, SMS",Apparel,Very likely,"Brand reputation, Discounts/Offers",Yes,Neutral,1328.0,Yes,Neutral,"Slow delivery, Too many choices",Sometimes,1.0,Neutral
25–34,Female,Postgraduate,14963.0,East,1–2 hours,Facebook,Electronics,Neutral,"Brand reputation, Personalization",Yes,Likely,1312.0,Maybe,Neutral,"Complicated checkout, Others, Slow delivery",Rarely,4.0,Neutral
25–34,Non-binary/Other,Undergraduate,33852.0,East,2+ hours,"Instagram, Other",Groceries,Neutral,"Brand reputation, Personalization",Yes,Neutral,1910.0,Yes,Very comfortable,"Lack of trust, Slow delivery",Sometimes,2.0,Neutral
18–24,Male,Other,39323.0,North,1–2 hours,"Email, Instagram, Other",Groceries,Likely,"Brand reputation, Product reviews",Yes,Likely,1329.0,No,Neutral,"Complicated checkout, Not enough discounts, Too many choices",Rarely,1.0,Excited
25–34,Male,High school,16788.0,South,1–2 hours,Facebook,Apparel,Likely,"Personalization, Visual appeal",Yes,Unlikely,1486.0,Maybe,Neutral,"Complicated checkout, Slow delivery",Sometimes,3.0,Open but cautious
18–24,Female,High school,59582.0,North,<30 mins,"Email, Instagram, SMS",Other,Unlikely,"Discounts/Offers, Product reviews",Yes,Unlikely,699.0,Yes,Very comfortable,"Not enough discounts, Others, Slow delivery",Sometimes,3.0,Neutral
18–24,Male,Postgraduate,45297.0,West,<30 mins,"Facebook, Google Ads, SMS",Services,Very likely,"Personalization, Visual appeal",Yes,Very unlikely,1829.0,Maybe,Very comfortable,"Others, Too many choices",Sometimes,1.0,Disinterested
55+,Male,Postgraduate,54746.0,Central/Other,30–60 mins,"Google Ads, Other, SMS",Apparel,Likely,,Yes,Likely,709.0,No,Uncomfortable,"Lack of trust, Not enough discounts, Too many choices",Rarely,2.0,Excited
